ROLE_RSP_ACTN_ID,OBJ_ID,VER_NBR,ACTN_TYP_CD,PRIORITY_NBR,ACTN_PLCY_CD,ROLE_MBR_ID,ROLE_RSP_ID,FRC_ACTN
OLE10002,OLE10002,1,A,1,F,*,OLE10002,N
OLE10005,OLE10005,1,F,1,A,*,OLE10005,N
OLE10006,OLE10006,1,F,1,A,*,OLE10006,N
OLE10011,OLE10011,1,A,1,F,*,OLE10011,N
OLE10014,OLE10014,1,F,1,A,*,OLE10014,N
OLE10015,OLE10015,1,F,1,A,*,OLE10015,N
OLE10016,OLE10016,1,A,1,F,*,OLE10016,N
OLE10017,OLE10017,1,A,1,F,*,OLE10017,N
OLE10018,OLE10018,1,A,1,F,*,OLE10018,N
OLE10019,OLE10019,1,A,1,F,*,OLE10019,N
OLE10020,OLE10020,1,F,1,A,*,OLE10020,N
OLE10022,OLE10022,1,F,1,A,*,OLE10022,N
OLE10023,OLE10023,1,F,1,A,*,OLE10023,N
OLE10024,OLE10024,1,A,1,F,*,OLE10024,Y
OLE10026,OLE10026,1,A,1,F,*,OLE10026,Y
OLE10027,OLE10027,1,A,1,F,*,OLE10027,Y
OLE10028,OLE10028,1,A,1,F,*,OLE10028,Y
OLE10029,OLE10029,1,A,1,F,*,OLE10029,Y
OLE10030,OLE10030,1,A,1,F,*,OLE10030,N
OLE10031,OLE10031,1,A,1,F,*,OLE10031,N
OLE10032,OLE10032,1,A,1,F,*,OLE10032,Y
OLE10033,OLE10033,1,A,1,F,*,OLE1126,Y
OLE10034,OLE10034,1,A,1,F,*,OLE1127,N
OLE10035,OLE10035,1,A,1,F,*,OLE1128,N
OLE10036,OLE10036,1,A,1,F,*,OLE1129,N
OLE10037,OLE10037,1,A,1,F,*,OLE1130,N
OLE10038,OLE10038,1,A,1,F,*,OLE1131,N
OLE10039,OLE10039,1,A,1,F,*,OLE1132,N
OLE10040,OLE10040,1,A,1,F,*,OLE1133,N
OLE10041,OLE10041,1,A,1,F,*,OLE1134,N
OLE10042,OLE10042,1,A,1,F,*,OLE1135,N
OLE10043,OLE10043,1,A,1,F,*,OLE1136,N
OLE10044,OLE10044,1,A,1,F,*,OLE1137,N
OLE10045,OLE10045,1,A,1,F,*,OLE1138,N
OLE10046,OLE10046,1,A,1,F,*,OLE1139,N
OLE10047,OLE10047,1,A,1,F,*,OLE1140,N
OLE10048,OLE10048,1,F,1,F,OLE10115,*,N
OLE10049,OLE10049,1,F,1,F,OLE10114,*,N
OLE10050,OLE10050,1,A,1,F,*,OLE1142,N
OLE10051,OLE10051,1,F,1,F,*,OLE1143,N
OLE10052,OLE10052,1,F,1,F,*,OLE1144,N
OLE10053,OLE10053,1,F,1,F,*,OLE1145,N
OLE10054,OLE10054,1,F,1,F,*,OLE1146,N
OLE10055,OLE10055,1,A,1,A,*,OLE1147,Y
OLE10056,OLE10056,1,A,1,A,*,OLE1148,Y
OLE10057,OLE10057,1,A,1,A,*,OLE1149,Y
OLE10058,OLE10058,1,F,1,A,*,OLE1150,Y
OLE10059,OLE10059,1,F,1,A,*,OLE1151,Y
OLE10060,OLE10060,1,F,1,A,*,OLE1152,Y
OLE10061,OLE10061,1,F,1,A,*,OLE1153,Y
OLE10062,OLE10062,1,A,1,F,*,OLE1154,N
OLE10063,OLE10063,1,A,1,F,*,OLE1155,N
OLE10064,OLE10064,1,A,1,F,*,OLE1156,N
OLE10065,OLE10065,1,A,1,A,*,OLE1157,N
OLE10066,OLE10066,1,A,1,F,*,OLE1158,N
OLE10067,OLE10067,1,A,1,A,*,OLE1159,Y
OLE10068,OLE10068,1,F,1,A,*,OLE1160,Y
OLE10069,OLE10069,1,A,1,A,*,OLE1161,N
OLE10070,OLE10070,1,A,1,A,*,OLE1162,N
OLE10071,OLE10071,1,A,1,A,*,OLE1163,N
OLE10072,OLE10072,1,A,1,F,*,OLE1164,Y
OLE10073,OLE10073,1,A,1,F,*,OLE1165,Y
OLE101,OLE101,1,A,1,F,*,OLE1004,Y
OLE104,OLE104,1,A,1,F,*,OLE1066,Y
OLE106,OLE106,1,A,1,A,*,OLE1089,Y
OLE108,OLE108,1,A,1,F,*,OLE1009,N
OLE110,OLE110,1,A,1,F,*,OLE1067,Y
OLE111,OLE111,1,F,1,F,*,OLE1006,Y
OLE113,OLE113,1,A,1,F,*,OLE1077,Y
OLE114,OLE114,1,A,1,F,*,OLE1062,N
OLE115,OLE115,1,F,1,F,*,OLE1079,Y
OLE124,OLE124,1,A,1,A,*,OLE1099,N
OLE132,OLE132,1,F,1,A,*,OLE1107,Y
OLE133,OLE133,1,F,1,A,*,OLE1108,Y
OLE134,OLE134,1,A,1,F,*,OLE1109,Y
OLE138,OLE138,1,A,1,F,*,OLE1113,Y
OLE169,OLE169,1,A,1,A,*,OLE1121,Y
OLE201,OLE201,1,F,1,A,*,OLE1125,Y
OLE34,OLE34,1,A,1,A,*,OLE1037,N
OLE47,OLE47,1,A,1,F,*,OLE1015,N
OLE48,OLE48,1,A,2,F,*,OLE1068,N
OLE52,OLE52,1,F,1,F,*,OLE1017,N
OLE53,OLE53,1,A,2,A,*,OLE1070,N
OLE56,OLE56,1,A,1,F,*,OLE1024,N
OLE74,OLE74,1,A,1,F,*,OLE1000,N
OLE76,OLE76,1,A,1,F,*,OLE1001,N
OLE78,OLE78,1,A,1,F,*,OLE1011,N
OLE79,OLE79,1,A,1,F,*,OLE1065,N
OLE80,OLE80,1,A,1,F,*,OLE1002,N
OLE80006,OLE80006,1,A,1,F,OLE10079,*,N
OLE80007,OLE80007,1,A,1,F,OLE10086,*,N
OLE80008,OLE80008,1,A,1,F,*,OLE80005,Y
OLE80009,OLE80009,1,A,1,F,*,OLE80006,Y
OLE80010,OLE80010,1,A,1,F,*,OLE80010,Y
OLE80011,OLE80011,1,A,1,F,*,OLE80011,Y
OLE80012,OLE80012,1,A,1,F,*,OLE80012,Y
OLE80013,OLE80013,1,A,1,F,*,OLE80013,Y
OLE80014,OLE80014,1,A,1,F,*,OLE80014,Y
OLE80015,OLE80015,1,A,1,F,*,OLE80007,Y
OLE80016,OLE80016,1,A,1,F,*,OLE80008,Y
OLE80017,OLE80017,1,A,1,F,*,OLE80009,Y
OLE80018,OLE80018,1,A,1,F,*,OLE80001,Y
OLE80019,OLE80019,1,F,1,F,OLE10022,*,N
OLE80020,OLE80020,1,F,1,F,OLE10046,*,N
OLE80021,OLE80021,1,F,1,F,OLE10059,*,N
OLE81,OLE81,1,A,1,F,*,OLE1083,N
OLE82,OLE82,1,A,1,F,*,OLE1120,Y
OLEFP7037A,OLEFP7037A,1,A,1,F,*,OLEFP7037A,N
